"Activity" "Subject" "Measurement" "Value"
"standing" "9" "tBodyAcc-mean()-X" 0.282310057333333
"walking" "9" "tBodyAcc-mean()-X" 0.278502842115385
"walking_downstairs" "9" "tBodyAcc-mean()-X" 0.295923445
"walking_upstairs" "9" "tBodyAcc-mean()-X" 0.262436475714286
"laying" "10" "tBodyAcc-mean()-X" 0.280230574137931
"sitting" "10" "tBodyAcc-mean()-X" 0.270612056481481
"standing" "10" "tBodyAcc-mean()-X" 0.276650300681818
"walking" "10" "tBodyAcc-mean()-X" 0.278574076603774
"walking_downstairs" "10" "tBodyAcc-mean()-X" 0.290401594315789
"walking_upstairs" "10" "tBodyAcc-mean()-X" 0.267121853404255
"laying" "11" "tBodyAcc-mean()-X" 0.280592970877193
"sitting" "11" "tBodyAcc-mean()-X" 0.276590197358491
"standing" "11" "tBodyAcc-mean()-X" 0.277715562765957
"walking" "11" "tBodyAcc-mean()-X" 0.271821892881356
"walking_downstairs" "11" "tBodyAcc-mean()-X" 0.291605631956522
"walking_upstairs" "11" "tBodyAcc-mean()-X" 0.263775859277778
"laying" "12" "tBodyAcc-mean()-X" 0.260113433
"sitting" "12" "tBodyAcc-mean()-X" 0.275007224901961
"standing" "12" "tBodyAcc-mean()-X" 0.277405834918033
"walking" "12" "tBodyAcc-mean()-X" 0.2771286656
"walking_downstairs" "12" "tBodyAcc-mean()-X" 0.281521097391304
"walking_upstairs" "12" "tBodyAcc-mean()-X" 0.272970338653846
"laying" "13" "tBodyAcc-mean()-X" 0.276716360483871
"sitting" "13" "tBodyAcc-mean()-X" 0.274328499591837
"standing" "13" "tBodyAcc-mean()-X" 0.277758431052632
"walking" "13" "tBodyAcc-mean()-X" 0.275883130350877
"walking_downstairs" "13" "tBodyAcc-mean()-X" 0.294907553404255
"walking_upstairs" "13" "tBodyAcc-mean()-X" 0.258203939581818
"laying" "14" "tBodyAcc-mean()-X" 0.233275439803922
"sitting" "14" "tBodyAcc-mean()-X" 0.279990577037037
"standing" "14" "tBodyAcc-mean()-X" 0.280545613833333
"walking" "14" "tBodyAcc-mean()-X" 0.271959598644068
"walking_downstairs" "14" "tBodyAcc-mean()-X" 0.293422115555556
"walking_upstairs" "14" "tBodyAcc-mean()-X" 0.26242106612963
"laying" "15" "tBodyAcc-mean()-X" 0.2894756525
"sitting" "15" "tBodyAcc-mean()-X" 0.27290337979661
"standing" "15" "tBodyAcc-mean()-X" 0.278915803962264
"walking" "15" "tBodyAcc-mean()-X" 0.273899207962963
"walking_downstairs" "15" "tBodyAcc-mean()-X" 0.280198851190476
"walking_upstairs" "15" "tBodyAcc-mean()-X" 0.270187595833333
"laying" "16" "tBodyAcc-mean()-X" 0.274227162571429
"sitting" "16" "tBodyAcc-mean()-X" 0.280768574492754
"standing" "16" "tBodyAcc-mean()-X" 0.283497402948718
"walking" "16" "tBodyAcc-mean()-X" 0.276023564509804
"walking_downstairs" "16" "tBodyAcc-mean()-X" 0.295586802191489
"walking_upstairs" "16" "tBodyAcc-mean()-X" 0.255986102627451
"laying" "17" "tBodyAcc-mean()-X" 0.269780085577465
"sitting" "17" "tBodyAcc-mean()-X" 0.2773570196875
"standing" "17" "tBodyAcc-mean()-X" 0.277942503333333
"walking" "17" "tBodyAcc-mean()-X" 0.272341855245902
"walking_downstairs" "17" "tBodyAcc-mean()-X" 0.29391828326087
"walking_upstairs" "17" "tBodyAcc-mean()-X" 0.252604768583333
"laying" "18" "tBodyAcc-mean()-X" 0.274691576923077
"sitting" "18" "tBodyAcc-mean()-X" 0.27727001877193
"standing" "18" "tBodyAcc-mean()-X" 0.278458805890411
"walking" "18" "tBodyAcc-mean()-X" 0.273887758571429
"walking_downstairs" "18" "tBodyAcc-mean()-X" 0.288439468909091
"walking_upstairs" "18" "tBodyAcc-mean()-X" 0.265401201896552
"laying" "19" "tBodyAcc-mean()-X" 0.272653733493976
"sitting" "19" "tBodyAcc-mean()-X" 0.273830316164384
"standing" "19" "tBodyAcc-mean()-X" 0.27817226
"walking" "19" "tBodyAcc-mean()-X" 0.273931172307692
"walking_downstairs" "19" "tBodyAcc-mean()-X" 0.262688053871795
"walking_upstairs" "19" "tBodyAcc-mean()-X" 0.242118808925
"laying" "20" "tBodyAcc-mean()-X" 0.239507882205882
"sitting" "20" "tBodyAcc-mean()-X" 0.278045439090909
"standing" "20" "tBodyAcc-mean()-X" 0.278076904657534
"walking" "20" "tBodyAcc-mean()-X" 0.272589336470588
"walking_downstairs" "20" "tBodyAcc-mean()-X" 0.296144421355556
"walking_upstairs" "20" "tBodyAcc-mean()-X" 0.252098317156863
"laying" "21" "tBodyAcc-mean()-X" 0.271325472455556
"sitting" "21" "tBodyAcc-mean()-X" 0.277539616823529
"standing" "21" "tBodyAcc-mean()-X" 0.27695224258427
"walking" "21" "tBodyAcc-mean()-X" 0.279183526730769
"walking_downstairs" "21" "tBodyAcc-mean()-X" 0.3014610196
"walking_upstairs" "21" "tBodyAcc-mean()-X" 0.265194544680851
"laying" "22" "tBodyAcc-mean()-X" 0.279959721194444
"sitting" "22" "tBodyAcc-mean()-X" 0.273583822709677
"standing" "22" "tBodyAcc-mean()-X" 0.279053861587302
"walking" "22" "tBodyAcc-mean()-X" 0.27886459
"walking_downstairs" "22" "tBodyAcc-mean()-X" 0.284458963861111
"walking_upstairs" "22" "tBodyAcc-mean()-X" 0.248391534566667
"laying" "23" "tBodyAcc-mean()-X" 0.274038007986111
"sitting" "23" "tBodyAcc-mean()-X" 0.273351251617647
"standing" "23" "tBodyAcc-mean()-X" 0.277899323235294
"walking" "23" "tBodyAcc-mean()-X" 0.273211884237288
"walking_downstairs" "23" "tBodyAcc-mean()-X" 0.289897411148148
"walking_upstairs" "23" "tBodyAcc-mean()-X" 0.249995171031373
"laying" "24" "tBodyAcc-mean()-X" 0.272850494930556
"sitting" "24" "tBodyAcc-mean()-X" 0.273475690147059
"standing" "24" "tBodyAcc-mean()-X" 0.280348883913043
"walking" "24" "tBodyAcc-mean()-X" 0.276980816034483
"walking_downstairs" "24" "tBodyAcc-mean()-X" 0.288631208909091
"walking_upstairs" "24" "tBodyAcc-mean()-X" 0.269881106779661
"laying" "25" "tBodyAcc-mean()-X" 0.250791828613699
"sitting" "25" "tBodyAcc-mean()-X" 0.278541482461538
"standing" "25" "tBodyAcc-mean()-X" 0.278013701621622
"walking" "25" "tBodyAcc-mean()-X" 0.278992759054054
"walking_downstairs" "25" "tBodyAcc-mean()-X" 0.291329666206897
"walking_upstairs" "25" "tBodyAcc-mean()-X" 0.277995411384615
"laying" "26" "tBodyAcc-mean()-X" 0.271645864540789
"sitting" "26" "tBodyAcc-mean()-X" 0.258243530166667
"standing" "26" "tBodyAcc-mean()-X" 0.281127035405405
"walking" "26" "tBodyAcc-mean()-X" 0.279264443728814
"walking_downstairs" "26" "tBodyAcc-mean()-X" 0.2792845828
"walking_upstairs" "26" "tBodyAcc-mean()-X" 0.272691394545455
"laying" "27" "tBodyAcc-mean()-X" 0.274102492432432
"sitting" "27" "tBodyAcc-mean()-X" 0.273941302571429
"standing" "27" "tBodyAcc-mean()-X" 0.279566921625
"walking" "27" "tBodyAcc-mean()-X" 0.276849485438596
"walking_downstairs" "27" "tBodyAcc-mean()-X" 0.2975441875
"walking_upstairs" "27" "tBodyAcc-mean()-X" 0.265770253921569
"laying" "28" "tBodyAcc-mean()-X" 0.2759134825
"sitting" "28" "tBodyAcc-mean()-X" 0.276977629444444
"standing" "28" "tBodyAcc-mean()-X" 0.277795069113924
"walking" "28" "tBodyAcc-mean()-X" 0.281228223888889
"walking_downstairs" "28" "tBodyAcc-mean()-X" 0.293642076521739
"walking_upstairs" "28" "tBodyAcc-mean()-X" 0.262005841764706
"laying" "29" "tBodyAcc-mean()-X" 0.287295196811594
"sitting" "29" "tBodyAcc-mean()-X" 0.2771799775
"standing" "29" "tBodyAcc-mean()-X" 0.277965065846154
"walking" "29" "tBodyAcc-mean()-X" 0.271999916792453
"walking_downstairs" "29" "tBodyAcc-mean()-X" 0.293140441083333
"walking_upstairs" "29" "tBodyAcc-mean()-X" 0.265423066877551
"laying" "30" "tBodyAcc-mean()-X" 0.281033900571429
"sitting" "30" "tBodyAcc-mean()-X" 0.268336081379032
"standing" "30" "tBodyAcc-mean()-X" 0.277112699152542
"walking" "30" "tBodyAcc-mean()-X" 0.276406758
"walking_downstairs" "30" "tBodyAcc-mean()-X" 0.283190646967742
"walking_upstairs" "30" "tBodyAcc-mean()-X" 0.271415642261538
"laying" "1" "tBodyAcc-mean()-Y" -0.0405139534294
"sitting" "1" "tBodyAcc-mean()-Y" -0.00130828765170213
"standing" "1" "tBodyAcc-mean()-Y" -0.0161375901037736
"walking" "1" "tBodyAcc-mean()-Y" -0.0173838185273684
"walking_downstairs" "1" "tBodyAcc-mean()-Y" -0.00991850461020408
"walking_upstairs" "1" "tBodyAcc-mean()-Y" -0.0239531492643396
"laying" "2" "tBodyAcc-mean()-Y" -0.0181587397583333
"sitting" "2" "tBodyAcc-mean()-Y" -0.0156879937282609
"standing" "2" "tBodyAcc-mean()-Y" -0.0184208270166667
"walking" "2" "tBodyAcc-mean()-Y" -0.0185949199145763
"walking_downstairs" "2" "tBodyAcc-mean()-Y" -0.0226614158361702
"walking_upstairs" "2" "tBodyAcc-mean()-Y" -0.0214121132045833
"laying" "3" "tBodyAcc-mean()-Y" -0.0189556785048387
"sitting" "3" "tBodyAcc-mean()-Y" -0.00350299841730769
"standing" "3" "tBodyAcc-mean()-Y" -0.0143376555065574
"walking" "3" "tBodyAcc-mean()-Y" -0.0171767844203448
"walking_downstairs" "3" "tBodyAcc-mean()-Y" -0.0193554079328571
"walking_upstairs" "3" "tBodyAcc-mean()-Y" -0.0324109410555932
"laying" "4" "tBodyAcc-mean()-Y" -0.0150031841055556
"sitting" "4" "tBodyAcc-mean()-Y" -0.007163065158
"standing" "4" "tBodyAcc-mean()-Y" -0.00948911098553571
"walking" "4" "tBodyAcc-mean()-Y" -0.0148399475341667
"walking_downstairs" "4" "tBodyAcc-mean()-Y" -0.00980200850666667
"walking_upstairs" "4" "tBodyAcc-mean()-Y" -0.0319804295729615
"laying" "5" "tBodyAcc-mean()-Y" -0.0183042123269231
"sitting" "5" "tBodyAcc-mean()-Y" -0.00990083527045455
"standing" "5" "tBodyAcc-mean()-Y" -0.00700418554517857
"walking" "5" "tBodyAcc-mean()-Y" -0.0172850317482679
"walking_downstairs" "5" "tBodyAcc-mean()-Y" -0.00850107533191489
"walking_upstairs" "5" "tBodyAcc-mean()-Y" -0.0325269755153191
"laying" "6" "tBodyAcc-mean()-Y" -0.0102529170561404
"sitting" "6" "tBodyAcc-mean()-Y" -0.0145911615290909
"standing" "6" "tBodyAcc-mean()-Y" -0.0181236327175439
"walking" "6" "tBodyAcc-mean()-Y" -0.0168954189082456
"walking_downstairs" "6" "tBodyAcc-mean()-Y" -0.019536840063125
"walking_upstairs" "6" "tBodyAcc-mean()-Y" -0.0272425385070588
"laying" "7" "tBodyAcc-mean()-Y" -0.0204411516884615
"sitting" "7" "tBodyAcc-mean()-Y" -0.01461097580375
"standing" "7" "tBodyAcc-mean()-Y" -0.0145740341037736
"walking" "7" "tBodyAcc-mean()-Y" -0.018653665345614
"walking_downstairs" "7" "tBodyAcc-mean()-Y" -0.0166332372978723
"walking_upstairs" "7" "tBodyAcc-mean()-Y" -0.0275639005607843
"laying" "8" "tBodyAcc-mean()-Y" -0.0212281733881481
"sitting" "8" "tBodyAcc-mean()-Y" -0.00672550621304348
"standing" "8" "tBodyAcc-mean()-Y" -0.0148113067148148
"walking" "8" "tBodyAcc-mean()-Y" -0.0186628865310417
"walking_downstairs" "8" "tBodyAcc-mean()-Y" -0.0211058674973684
"walking_upstairs" "8" "tBodyAcc-mean()-Y" -0.0282415136341463
"laying" "9" "tBodyAcc-mean()-Y" -0.020526821662
"sitting" "9" "tBodyAcc-mean()-Y" -0.02701677698
"standing" "9" "tBodyAcc-mean()-Y" -0.0200454954022222
"walking" "9" "tBodyAcc-mean()-Y" -0.0180891971284423
"walking_downstairs" "9" "tBodyAcc-mean()-Y" -0.0203994269075476
"walking_upstairs" "9" "tBodyAcc-mean()-Y" -0.0195101099975714
"laying" "10" "tBodyAcc-mean()-Y" -0.024294484137931
"sitting" "10" "tBodyAcc-mean()-Y" -0.015042681852037
"standing" "10" "tBodyAcc-mean()-Y" -0.0155418603409091
"walking" "10" "tBodyAcc-mean()-Y" -0.017022351190566
"walking_downstairs" "10" "tBodyAcc-mean()-Y" -0.0200050770710526
"walking_upstairs" "10" "tBodyAcc-mean()-Y" -0.0143854920340426
"laying" "11" "tBodyAcc-mean()-Y" -0.0176598052315789
"sitting" "11" "tBodyAcc-mean()-Y" -0.0149195616754717
"standing" "11" "tBodyAcc-mean()-Y" -0.0171990886595745
"walking" "11" "tBodyAcc-mean()-Y" -0.0166475833623729
"walking_downstairs" "11" "tBodyAcc-mean()-Y" -0.0178097721219565
"walking_upstairs" "11" "tBodyAcc-mean()-Y" -0.0303157822055556
"laying" "12" "tBodyAcc-mean()-Y" -0.0175203917146667
"sitting" "12" "tBodyAcc-mean()-Y" -0.0157892988523529
"standing" "12" "tBodyAcc-mean()-Y" -0.0169002543196721
"walking" "12" "tBodyAcc-mean()-Y" -0.015560927606
"walking_downstairs" "12" "tBodyAcc-mean()-Y" -0.018084266865793
"walking_upstairs" "12" "tBodyAcc-mean()-Y" -0.0263574903403846
"laying" "13" "tBodyAcc-mean()-Y" -0.020440454366129
"sitting" "13" "tBodyAcc-mean()-Y" -0.00587732936326531
"standing" "13" "tBodyAcc-mean()-Y" -0.0167891993964912
"walking" "13" "tBodyAcc-mean()-Y" -0.0185660651947368
"walking_downstairs" "13" "tBodyAcc-mean()-Y" -0.0143723839108511
"walking_upstairs" "13" "tBodyAcc-mean()-Y" -0.0277392253910909
"laying" "14" "tBodyAcc-mean()-Y" -0.0113424652490196
"sitting" "14" "tBodyAcc-mean()-Y" -0.00870565463888889
"standing" "14" "tBodyAcc-mean()-Y" -0.01520781344
"walking" "14" "tBodyAcc-mean()-Y" -0.0217785380966102
"walking_downstairs" "14" "tBodyAcc-mean()-Y" -0.0200141413657778
"walking_upstairs" "14" "tBodyAcc-mean()-Y" -0.0204388180024074
"laying" "15" "tBodyAcc-mean()-Y" -0.0166296542054167
"sitting" "15" "tBodyAcc-mean()-Y" -0.0117188472271186
"standing" "15" "tBodyAcc-mean()-Y" -0.0183516360396226
"walking" "15" "tBodyAcc-mean()-Y" -0.0170809740090741
"walking_downstairs" "15" "tBodyAcc-mean()-Y" -0.00563047804309524
"walking_upstairs" "15" "tBodyAcc-mean()-Y" -0.0287523860708333
"laying" "16" "tBodyAcc-mean()-Y" -0.0166103510562857
"sitting" "16" "tBodyAcc-mean()-Y" -0.0102497939956522
"standing" "16" "tBodyAcc-mean()-Y" -0.0165999672935897
"walking" "16" "tBodyAcc-mean()-Y" -0.0204286929452941
"walking_downstairs" "16" "tBodyAcc-mean()-Y" -0.0183898583787234
"walking_upstairs" "16" "tBodyAcc-mean()-Y" -0.0143654945011765
"laying" "17" "tBodyAcc-mean()-Y" -0.0168462006729577
"sitting" "17" "tBodyAcc-mean()-Y" -0.014156274084375
"standing" "17" "tBodyAcc-mean()-Y" -0.0174120064169231
"walking" "17" "tBodyAcc-mean()-Y" -0.0184875403339344
"walking_downstairs" "17" "tBodyAcc-mean()-Y" -0.0167359404347826
"walking_upstairs" "17" "tBodyAcc-mean()-Y" -0.0228645614308333
"laying" "18" "tBodyAcc-mean()-Y" -0.0173937684615385
"sitting" "18" "tBodyAcc-mean()-Y" -0.0128691279736842
"standing" "18" "tBodyAcc-mean()-Y" -0.0166353518150685
"walking" "18" "tBodyAcc-mean()-Y" -0.0178023631866071
"walking_downstairs" "18" "tBodyAcc-mean()-Y" -0.0168666920221818
"walking_upstairs" "18" "tBodyAcc-mean()-Y" -0.0222060684378914
"laying" "19" "tBodyAcc-mean()-Y" -0.0171426864421687
"sitting" "19" "tBodyAcc-mean()-Y" -0.016739260030137
"standing" "19" "tBodyAcc-mean()-Y" -0.0154244056945205
"walking" "19" "tBodyAcc-mean()-Y" -0.0191773587903846
"walking_downstairs" "19" "tBodyAcc-mean()-Y" -0.0145942275069487
"walking_upstairs" "19" "tBodyAcc-mean()-Y" -0.0303986615775
"laying" "20" "tBodyAcc-mean()-Y" -0.0144406281132353
"sitting" "20" "tBodyAcc-mean()-Y" -0.0147229305131818
"standing" "20" "tBodyAcc-mean()-Y" -0.0180695049161644
"walking" "20" "tBodyAcc-mean()-Y" -0.021199992245098
"walking_downstairs" "20" "tBodyAcc-mean()-Y" -0.00964120773155556
"walking_upstairs" "20" "tBodyAcc-mean()-Y" -0.0282258047588235
"laying" "21" "tBodyAcc-mean()-Y" -0.0184233048415556
"sitting" "21" "tBodyAcc-mean()-Y" -0.0144009705494118
"standing" "21" "tBodyAcc-mean()-Y" -0.0167084730205618
"walking" "21" "tBodyAcc-mean()-Y" -0.0181610317526923
"walking_downstairs" "21" "tBodyAcc-mean()-Y" -0.0173195390157778
"walking_upstairs" "21" "tBodyAcc-mean()-Y" -0.0237218695148936
"laying" "22" "tBodyAcc-mean()-Y" -0.0142629864502778
"sitting" "22" "tBodyAcc-mean()-Y" -0.0123468446419355
"standing" "22" "tBodyAcc-mean()-Y" -0.0158563207496825
"walking" "22" "tBodyAcc-mean()-Y" -0.0167213607957174
"walking_downstairs" "22" "tBodyAcc-mean()-Y" -0.0197999371686389
"walking_upstairs" "22" "tBodyAcc-mean()-Y" -0.0268622561133333
"laying" "23" "tBodyAcc-mean()-Y" -0.0216553835833333
"sitting" "23" "tBodyAcc-mean()-Y" -0.0133945015676471
"standing" "23" "tBodyAcc-mean()-Y" -0.0177475547867647
"walking" "23" "tBodyAcc-mean()-Y" -0.0183618711932203
"walking_downstairs" "23" "tBodyAcc-mean()-Y" -0.0162111457238889
"walking_upstairs" "23" "tBodyAcc-mean()-Y" -0.0323844029237255
"laying" "24" "tBodyAcc-mean()-Y" -0.0173555210111111
"sitting" "24" "tBodyAcc-mean()-Y" -0.0131255097938235
"standing" "24" "tBodyAcc-mean()-Y" -0.0144785340348986
"walking" "24" "tBodyAcc-mean()-Y" -0.0225446400534483
"walking_downstairs" "24" "tBodyAcc-mean()-Y" -0.0145730348310909
"walking_upstairs" "24" "tBodyAcc-mean()-Y" -0.0251979434569492
"laying" "25" "tBodyAcc-mean()-Y" -0.0188943663671233
"sitting" "25" "tBodyAcc-mean()-Y" -0.0147696808030769
"standing" "25" "tBodyAcc-mean()-Y" -0.0163569730274324
"walking" "25" "tBodyAcc-mean()-Y" -0.0186477624716216
"walking_downstairs" "25" "tBodyAcc-mean()-Y" -0.0210170522987931
"walking_upstairs" "25" "tBodyAcc-mean()-Y" -0.0269863524264615
"laying" "26" "tBodyAcc-mean()-Y" -0.0191895728026316
"sitting" "26" "tBodyAcc-mean()-Y" -0.00713364541358974
"standing" "26" "tBodyAcc-mean()-Y" -0.0166608306652703
"walking" "26" "tBodyAcc-mean()-Y" -0.0154259586949153
"walking_downstairs" "26" "tBodyAcc-mean()-Y" -0.01262580966778
"walking_upstairs" "26" "tBodyAcc-mean()-Y" -0.0281633797398182
"laying" "27" "tBodyAcc-mean()-Y" -0.0179867611216216
"sitting" "27" "tBodyAcc-mean()-Y" -0.0155269799285714
"standing" "27" "tBodyAcc-mean()-Y" -0.016593236445
"walking" "27" "tBodyAcc-mean()-Y" -0.0166478783221912
"walking_downstairs" "27" "tBodyAcc-mean()-Y" -0.0135564467159091
"walking_upstairs" "27" "tBodyAcc-mean()-Y" -0.0200953324078431
"laying" "28" "tBodyAcc-mean()-Y" -0.0167537858225
"sitting" "28" "tBodyAcc-mean()-Y" -0.0185404441258333
"standing" "28" "tBodyAcc-mean()-Y" -0.0172635124672152
"walking" "28" "tBodyAcc-mean()-Y" -0.0156759722981481
"walking_downstairs" "28" "tBodyAcc-mean()-Y" -0.0220230465913043
"walking_upstairs" "28" "tBodyAcc-mean()-Y" -0.0279443943478431
"laying" "29" "tBodyAcc-mean()-Y" -0.0171965484202899
"sitting" "29" "tBodyAcc-mean()-Y" -0.016630680375
"standing" "29" "tBodyAcc-mean()-Y" -0.0172605869061538
"walking" "29" "tBodyAcc-mean()-Y" -0.0162915600588679
"walking_downstairs" "29" "tBodyAcc-mean()-Y" -0.01494121505625
"walking_upstairs" "29" "tBodyAcc-mean()-Y" -0.0299465312326531
"laying" "30" "tBodyAcc-mean()-Y" -0.0194494098614286
"sitting" "30" "tBodyAcc-mean()-Y" -0.00804731295322581
"standing" "30" "tBodyAcc-mean()-Y" -0.0170163887813559
"walking" "30" "tBodyAcc-mean()-Y" -0.0175880385730769
"walking_downstairs" "30" "tBodyAcc-mean()-Y" -0.0174383900204839
"walking_upstairs" "30" "tBodyAcc-mean()-Y" -0.0253311698786154
"laying" "1" "tBodyAcc-mean()-Z" -0.11320355358
"sitting" "1" "tBodyAcc-mean()-Z" -0.104544182255319
"standing" "1" "tBodyAcc-mean()-Z" -0.110601817735849
"walking" "1" "tBodyAcc-mean()-Z" -0.111148103547368
"walking_downstairs" "1" "tBodyAcc-mean()-Z" -0.107566190908163
"walking_upstairs" "1" "tBodyAcc-mean()-Z" -0.0973020020943396
"laying" "2" "tBodyAcc-mean()-Z" -0.107245610416667
"sitting" "2" "tBodyAcc-mean()-Z" -0.109218272456522
"standing" "2" "tBodyAcc-mean()-Z" -0.105908536055556
"walking" "2" "tBodyAcc-mean()-Z" -0.105500357966102
"walking_downstairs" "2" "tBodyAcc-mean()-Z" -0.116812942382979
"walking_upstairs" "2" "tBodyAcc-mean()-Z" -0.152513899520833
"laying" "3" "tBodyAcc-mean()-Z" -0.101300477506452
"sitting" "3" "tBodyAcc-mean()-Z" -0.0983579203269231
"standing" "3" "tBodyAcc-mean()-Z" -0.101621722633148
"walking" "3" "tBodyAcc-mean()-Z" -0.112674859827586
"walking_downstairs" "3" "tBodyAcc-mean()-Z" -0.116139842908163
"walking_upstairs" "3" "tBodyAcc-mean()-Z" -0.110064863437288
"laying" "4" "tBodyAcc-mean()-Z" -0.110688150314815
"sitting" "4" "tBodyAcc-mean()-Z" -0.10587459588
"standing" "4" "tBodyAcc-mean()-Z" -0.0961574905535714
"walking" "4" "tBodyAcc-mean()-Z" -0.11140306485
"walking_downstairs" "4" "tBodyAcc-mean()-Z" -0.1067775246
"walking_upstairs" "4" "tBodyAcc-mean()-Z" -0.114219455519231
"laying" "5" "tBodyAcc-mean()-Z" -0.107937603673077
"sitting" "5" "tBodyAcc-mean()-Z" -0.108540300265909
"standing" "5" "tBodyAcc-mean()-Z" -0.102171095696429
"walking" "5" "tBodyAcc-mean()-Z" -0.107741776464286
"walking_downstairs" "5" "tBodyAcc-mean()-Z" -0.100319930659574
"walking_upstairs" "5" "tBodyAcc-mean()-Z" -0.107471453914894
"laying" "6" "tBodyAcc-mean()-Z" -0.133119570368421
"sitting" "6" "tBodyAcc-mean()-Z" -0.110127728709091
"standing" "6" "tBodyAcc-mean()-Z" -0.112172831947368
"walking" "6" "tBodyAcc-mean()-Z" -0.110303165877193
"walking_downstairs" "6" "tBodyAcc-mean()-Z" -0.107209356208333
"walking_upstairs" "6" "tBodyAcc-mean()-Z" -0.122082438784314
"laying" "7" "tBodyAcc-mean()-Z" -0.101361036576923
"sitting" "7" "tBodyAcc-mean()-Z" -0.122464597625
"standing" "7" "tBodyAcc-mean()-Z" -0.0997778303207547
"walking" "7" "tBodyAcc-mean()-Z" -0.110912234947368
"walking_downstairs" "7" "tBodyAcc-mean()-Z" -0.096938308587234
"walking_upstairs" "7" "tBodyAcc-mean()-Z" -0.143769688803922
"laying" "8" "tBodyAcc-mean()-Z" -0.102245365611111
"sitting" "8" "tBodyAcc-mean()-Z" -0.104461049130435
"standing" "8" "tBodyAcc-mean()-Z" -0.106114996837037
"walking" "8" "tBodyAcc-mean()-Z" -0.107252090833333
"walking_downstairs" "8" "tBodyAcc-mean()-Z" -0.107598135394737
"walking_upstairs" "8" "tBodyAcc-mean()-Z" -0.11512211995122
"laying" "9" "tBodyAcc-mean()-Z" -0.10754972144
"sitting" "9" "tBodyAcc-mean()-Z" -0.07537846886
"standing" "9" "tBodyAcc-mean()-Z" -0.0952747481333333
"walking" "9" "tBodyAcc-mean()-Z" -0.110820512307692
"walking_downstairs" "9" "tBodyAcc-mean()-Z" -0.0910278793952381
"walking_upstairs" "9" "tBodyAcc-mean()-Z" -0.125219003959184
